,block,street_name,latitude,longitude
580,468,NTH BRIDGE RD,,
581,107,TOWNER RD,,
582,105,TOWNER RD,,
583,12,FARRER PK RD,,
584,5A,UPP BOON KENG RD,,
585,95,WHAMPOA DR,,
586,123,MCNAIR RD,,
587,18,JLN TENTERAM,,
588,38C,BENDEMEER RD,,
589,3C,UPP BOON KENG RD,,
590,38D,BENDEMEER RD,,
591,108B,MCNAIR RD,,
592,21,ST. GEORGE'S RD,,
593,48A,DORSET RD,,
594,55,GEYLANG BAHRU,,
595,59B,GEYLANG BAHRU,,
596,9,BOON KENG RD,,
597,7,BOON KENG RD,,
598,105,JLN RAJAH,,
599,66,MARINE DR,,
600,32,MARINE CRES,,
601,55,MARINE TER,,
602,62,MARINE DR,,
603,5,CHANGI VILLAGE RD,,
604,753,PASIR RIS ST 71,,
605,743,PASIR RIS ST 71,,
606,109,PASIR RIS ST 11,,
607,632,PASIR RIS DR 3,,
608,742,PASIR RIS ST 71,,
609,473,PASIR RIS DR 6,,
610,121,PASIR RIS ST 11,,
611,773,PASIR RIS ST 71,,
612,474,PASIR RIS DR 6,,
613,124,PASIR RIS ST 11,,
614,215,PASIR RIS ST 21,,
615,484,PASIR RIS DR 4,,
616,185,PASIR RIS ST 11,,
617,570,PASIR RIS ST 53,,
618,701,PASIR RIS DR 10,,
619,416,PASIR RIS DR 6,,
620,519,PASIR RIS ST 52,,
621,198,PASIR RIS ST 12,,
622,564,PASIR RIS ST 51,,
623,231,PASIR RIS DR 4,,
624,720,PASIR RIS ST 72,,
625,747,PASIR RIS ST 71,,
626,520,PASIR RIS ST 52,,
627,515,PASIR RIS ST 52,,
628,633,PASIR RIS DR 3,,
629,199,PASIR RIS ST 12,,
630,553,PASIR RIS ST 51,,
631,514,PASIR RIS ST 52,,
632,419,PASIR RIS DR 6,,
633,239,PASIR RIS ST 21,,
634,116,PASIR RIS ST 11,,
635,237,PASIR RIS ST 21,,
636,108,PASIR RIS ST 12,,
637,531,PASIR RIS DR 1,,
638,203B,PUNGGOL FIELD,,
639,132,EDGEDALE PLAINS,,
640,128A,PUNGGOL FIELD WALK,,
641,106B,PUNGGOL FIELD,,
642,614A,EDGEFIELD PLAINS,,
643,195E,PUNGGOL RD,,
644,168B,PUNGGOL EAST,,
645,270A,PUNGGOL FIELD,,
646,195D,PUNGGOL RD,,
647,613A,PUNGGOL DR,,
648,615B,EDGEFIELD PLAINS,,
649,293,PUNGGOL CTRL,,
650,602A,PUNGGOL CTRL,,
651,613D,PUNGGOL DR,,
652,269C,PUNGGOL FIELD,,
653,601A,PUNGGOL CTRL,,
654,614B,EDGEFIELD PLAINS,,
655,601C,PUNGGOL CTRL,,
656,268D,PUNGGOL FIELD,,
657,305D,PUNGGOL DR,,
658,289B,PUNGGOL PL,,
659,289A,PUNGGOL PL,,
660,274C,PUNGGOL PL,,
661,269B,PUNGGOL FIELD,,
662,302A,PUNGGOL PL,,
663,172C,EDGEDALE PLAINS,,
664,637A,PUNGGOL DR,,
665,118,EDGEFIELD PLAINS,,
666,161B,PUNGGOL CTRL,,
667,105A,EDGEFIELD PLAINS,,
668,106A,PUNGGOL FIELD,,
669,102C,PUNGGOL FIELD,,
670,196C,PUNGGOL FIELD,1.39927958510349,103.907497649822
671,104B,EDGEFIELD PLAINS,,
672,199B,PUNGGOL FIELD,,
673,201A,PUNGGOL FIELD,,
674,171C,EDGEDALE PLAINS,,
675,166B,PUNGGOL CTRL,,
676,163A,PUNGGOL CTRL,,
677,617C,PUNGGOL DR,,
678,295,PUNGGOL CTRL,,
679,617B,PUNGGOL DR,,
680,299,PUNGGOL CTRL,,
681,270B,PUNGGOL FIELD,,
682,273C,PUNGGOL PL,,
683,268A,PUNGGOL FIELD,,
684,267B,PUNGGOL FIELD,,
685,270C,PUNGGOL FIELD,,
686,83,C'WEALTH CL,,
687,171,STIRLING RD,,
688,153,MEI LING ST,,
689,81,C'WEALTH CL,,
690,169,STIRLING RD,,
691,109,C'WEALTH CRES,,
692,94,C'WEALTH DR,,
693,111,C'WEALTH CRES,,
694,82,C'WEALTH CL,,
695,3,GHIM MOH RD,,
696,1,DOVER RD,,
697,170,STIRLING RD,,
698,1,GHIM MOH RD,,
699,6,GHIM MOH RD,,
700,8,HOLLAND AVE,,
701,86,C'WEALTH CL,,
702,60,STRATHMORE AVE,,
703,11,HOLLAND DR,,
704,2,HOLLAND AVE,,
705,23,GHIM MOH LINK,,
706,52,STRATHMORE AVE,,
707,130,CLARENCE LANE,,
708,7,GHIM MOH RD,,
709,21,HOLLAND DR,,
710,18,DOVER CRES,,
711,477,SEMBAWANG DR,,
712,322,SEMBAWANG CL,,
713,335,SEMBAWANG CL,,
714,504B,MONTREAL DR,,
715,489,ADMIRALTY LINK,,
716,467,ADMIRALTY DR,,
717,413,SEMBAWANG DR,,
718,357,ADMIRALTY DR,,
719,341,SEMBAWANG CL,,
720,327,SEMBAWANG CRES,,
721,420,CANBERRA RD,,
